owners equity,total operational expences,net profit,operational income,BCC score
2766397985.23,6176662325.65,9237331969.48,6322745490.93,0.8595822
2798598677.87,8530566408.88,9330848765.74,8797774966.37,0.9091124
4860601938.67,2861159947.19,8314396255.92,1932911678.91,0.4367261
3960009035.61,3651161019.65,10134085036.98,4757931943.94,0.9806981
10141843304.20,17812714098.54,10796823146.08,19600655406.33,0.9701097
1248934835.58,1705944945.06,9188254536.88,1786562163.94,0.7707111
1356938067.01,1799519618.58,9244285117.57,1874225630.94,0.7625765
5162264586.51,28473048396.50,10148555967.04,29738480177.00,0.9933544
3146083214.29,1952118177.01,9195381925.57,1991603674.11,0.6673443
2779409863.87,1371671424.97,9284026684.48,1555291093.88,0.6895644
505410384.34,544907618.03,9106488179.95,484468087.48,0.6104824
1155582639.04,4273570245.90,9235504975.78,4472812641.16,0.9352392
1592277710.50,1244724755.56,9338916310.13,1491364440.95,0.7749861
3754297469.77,5749508999.86,10282699266.96,7349715442.00,1.0000000
2792923307.28,3196353582.26,9378332552.06,3161904621.70,0.7261125
4679207908.30,2356422146.54,8843708916.15,2158280815.05,0.5846527
2648455971.14,1821122500.10,9207279064.38,1863354683.19,0.6733608
2461190024.89,5690894015.73,9155157753.31,5738468159.88,0.8504623
2053429017.37,1594303580.08,9184560045.73,1672973594.75,0.6908550
1325572217.95,889482878.86,9105872200.46,874408564.10,0.5501750
1076322947.77,895636573.02,9208033910.80,1036099728.85,0.7116825
4483261213.17,1549636337.57,9161248586.83,1617188641.83,0.5929719
1965782870.37,799240432.19,9262093781.97,973770007.95,0.6590213
850804179.36,796939558.74,9117032035.86,777888772.22,0.6296972
1207001712.34,4546513749.71,9029712327.75,4483129952.46,0.8828656
1091618284.31,511857328.20,9112426752.37,514844263.83,0.5277755
1354350780.81,357383810.11,9177144669.38,288618425.48,0.3755436
2926708459.40,1292603096.07,9248077718.36,1398188304.10,0.6323363
3813873354.66,2767543657.59,9303298298.41,2984711704.46,0.7506432
7781558653.00,57876387626.00,9636383177.17,58290504426.00,0.9826099
1250966603.25,1745858245.01,9128771328.79,1748307763.77,0.7400533
4431327225.56,2036320953.02,9290573903.44,2198672990.55,0.6791171
4811704977.97,2193435760.31,9739115020.85,2776954820.51,0.8134046
2352028345.86,941710740.32,9220063028.51,1049333414.01,0.6089551
996277708.69,953790557.88,9168977085.22,1009742833.17,0.6856440
20698794342.01,23750230823.46,12206964119.64,26395829300.45,0.9628975
6547988619.18,6521906137.08,9110351614.44,6432544240.84,0.7418189
612468038.54,843139024.37,9055914030.56,783512353.12,0.6821837
4076053026.83,51814081210.06,10687920464.48,52162863379.82,1.0000000
5526140739.57,2853374365.59,9171507996.96,2870713312.62,0.6631196
795411282.04,359866723.55,9110273299.81,360965806.28,0.5170645
1832229368.76,801256833.52,9142277401.63,846376612.63,0.5663753
2696637753.55,1712727892.04,9367358670.64,1989489736.46,0.7623262
660370759.82,432663984.08,8813250113.60,167701814.23,0.2364090
8893913973.02,6224253113.79,9649702493.70,6805205221.56,0.7910577
2439003874.66,980856161.34,9184107543.01,1065508630.29,0.5953516
343176333.43,728066822.11,9106482251.48,717211958.23,0.8077850
3490080451.31,1096437503.39,9225447247.62,1122143269.52,0.5477709
1878381970.63,776193590.00,9335446240.27,1036717894.98,0.7311485
1167630891.18,603316898.86,9115780417.06,609611922.62,0.5402737
3084124962.73,6218763728.68,9310134892.80,6379646046.28,0.8465992
801617791.87,421036932.28,9113716676.04,429968076.77,0.5458958
1654476817.52,519351504.84,9110481529.60,515093143.97,0.4997653
1399409914.29,3305931728.29,9266115610.94,3479301279.19,0.8825925
1251476645.63,2766293219.67,9206002110.21,2864963206.84,0.8549806
2815421805.36,6498351007.07,9132138402.56,6529956327.29,0.8487044
5879926925.78,11331042745.09,9193645047.82,11291634930.64,0.8429646
9438051895.95,7026553984.08,10482337716.08,8563996968.87,0.9079426
2366727915.99,572556436.99,9258922274.18,751826360.20,0.6532248
2974693646.69,577536090.17,9251430896.41,687282669.21,0.5682905
817592149.48,990036417.02,9342270141.67,1285284657.39,0.9099488
3465352929.77,2740615456.74,9220079112.50,2877123982.41,0.7364204
1560414187.36,1011808933.16,9242054213.94,977172460.43,0.5541745
1861916816.87,1319979022.44,9166271631.67,1323982177.63,0.6268141
3257288258.93,1610904102.29,9281432293.33,1769996350.07,0.6817698
1347063901.48,400780620.78,9119524562.93,382211939.94,0.4655189
857212319.96,324052564.27,9160844754.48,341857794.89,0.5229683
1651712250.00,1345850452.46,9205510472.78,1421634976.13,0.6808359
2419591312.81,1353225353.06,9121865763.33,1365111066.81,0.6124432
1651063724.95,417672726.76,9124412440.59,421834228.22,0.4867835
1222160393.91,356087945.26,9111179061.14,366846800.17,0.4994708
1234421958.65,1700013616.34,9184170554.35,1776594263.26,0.7704184
20556664182.25,54035119496.95,13262017120.51,57482698073.15,1.0000000
1140488279.69,1134666345.97,9199496836.90,1190372546.42,0.6914050
4540461508.13,2655359907.08,9418177504.69,2952700424.22,0.7498356
893100996.94,896994368.41,9052790687.79,940127834.20,0.6916463
2395427193.38,742857649.94,9263457046.48,891150096.92,0.6218227
1980743069.82,780616181.28,9517878012.75,1210071377.77,0.8629246
3520951372.34,2855496103.80,9530345847.93,3314058122.13,0.8254520
2747054672.20,2553308282.04,9771935707.55,3321493431.96,0.9394798
3146177778.14,1567701533.82,9258429256.70,1748926892.58,0.6919723
7464697556.59,8579234784.85,9439101020.68,8936853530.47,0.8217102
1980159251.79,450229701.37,9187008875.74,512680944.89,0.5485218
3577624431.82,1072984408.98,9199160090.67,1170283594.44,0.5832817
3496131162.90,405241297.23,9210533603.06,530528699.72,0.5485104
2203152566.78,2579649210.10,9320900297.44,2806573342.63,0.7926113
1829329984.00,1022771087.30,9106430082.06,874212865.21,0.4680180
3733497195.51,5288626798.12,8820385029.68,4944465775.38,0.7165912
4543818547.02,3872765427.68,9227564462.26,3906064777.74,0.7292173
5064187799.72,1777602412.40,9400491856.16,2115003538.13,0.7035655
1218622178.72,550122830.49,9152821069.16,600482796.93,0.5767254
3491555017.68,6610055161.66,9242857935.83,6800417153.88,0.8398890
5739989676.74,2784832831.78,9733072380.45,3603322860.32,0.8576061
672644510.00,494734567.98,9109442911.81,500808563.55,0.5977353
1326830657.23,1154059354.07,9222585237.36,1292992766.34,0.7143400
1236381319.57,330566014.72,9121344306.59,322762795.10,0.4613806
5442328912.42,8263319906.11,10363632647.83,9880671262.51,0.9793738
1268992790.57,337977107.88,9119554852.82,350673694.22,0.4946757
2871763856.58,6073402031.58,9240309543.61,6217001129.14,0.8515834
3013998717.05,1579197030.30,9286981263.23,1742674700.33,0.6901677
2442282567.15,1681227542.14,9119129182.31,1519555508.33,0.5769623
6302939009.63,9740805059.55,9501672718.08,10112537436.36,0.8540075
2830658235.29,2643563278.06,9241878111.05,2824431346.41,0.7623955
1702887366.12,890113470.50,9172616688.66,960349936.38,0.5971284
1173717340.98,172268481.27,9143853021.03,209173151.83,0.4819091
4439701605.67,3892749942.43,9518006473.59,4138144544.06,0.7735779
1085571446.23,3318332622.80,9335620966.12,3637541337.95,0.9542220
4488859818.97,1982411464.56,9522269640.48,2424822505.00,0.7713151
921386737.01,628791971.15,9000477964.50,547908294.84,0.4963501
1996573745.01,1455886503.10,9401377420.51,1750444766.11,0.7905815
1726268407.29,730541295.33,9154003999.54,783791014.57,0.5716171
1925761536.50,1138130813.53,9209574228.78,1238894201.48,0.6536795
1776388904.10,950700299.00,9111420990.05,856527703.61,0.4913321
2719644447.45,2568063817.92,9270841666.36,2726567846.40,0.7561917
1560375160.60,257170325.67,9063055015.23,205213107.36,0.3235015
4663482477.68,1901054143.92,9513248644.47,2308018925.62,0.7494190
1376116799.65,1196453457.95,9208682838.49,1317893130.25,0.7049754
2433041885.74,2945773017.05,9273943343.19,3125297731.78,0.7817808
2975100582.66,2569209889.22,9310385813.97,2705586250.03,0.7423869
2961992151.18,1335143972.66,9115717500.68,1283889091.76,0.5550482
3838003866.54,3443513058.91,9246993929.35,3621402981.29,0.7610944
3266268944.24,2020426700.63,9348822702.07,2306980927.75,0.7591615
6881972748.02,1540317915.59,9238173409.68,1657773572.88,0.5701755
2864554788.74,508365332.70,9197512241.89,583965508.09,0.5343667
2226472117.61,2355491987.01,9271821517.43,2535856457.33,0.7702503
716132064.63,345168758.46,8934311377.86,180200399.91,0.2902179
692878721.58,255623210.96,9173512139.81,320036398.27,0.6143702
1584848298.98,1085989012.57,9217249646.92,1169245177.52,0.6521714
1733750335.81,1548017660.88,9189158079.05,1627410536.13,0.7004033
2780626362.93,1553237209.52,8795336320.59,1195145239.06,0.4543470
4006622730.00,2557887066.84,9853863228.11,3393990299.80,0.9160971
854597149.44,840211842.61,9095629772.94,818892109.76,0.6396394
1194910299.10,1507300937.04,9155095109.64,1551654658.12,0.7374140
1709868028.40,2078000469.18,9191986989.13,2192615218.23,0.7602330
3531558570.97,1794565915.53,9816670826.32,2606483094.18,0.9466492
751633580.33,433362619.97,9156782278.46,481282073.06,0.6062237
687542759.15,816482157.17,9137860988.13,843448632.89,0.7234745
875887238.13,657216067.27,9196917476.86,752828611.22,0.6757208
1714766603.82,1405710716.80,9229649298.04,1533388298.62,0.7129292
1618169679.47,868081641.57,9123341884.41,877220955.85,0.5517349
2286911146.46,1351538363.49,9161656793.12,1395773008.67,0.6351476
2188784429.80,2353905446.53,9193487617.86,2436680172.89,0.7388898
1132071276.29,74619622.04,9110825045.54,66813550.74,0.3778142
1169530290.10,165072322.05,9115700464.77,120062609.46,0.2446437
1046229466.61,1789145167.61,9154743829.70,1842720263.44,0.7981495
2671679370.08,2127859811.98,9145152727.85,2062039420.46,0.6581803
3141520753.83,3296836185.40,9305708042.69,3400516664.68,0.7551499
515352687.90,165193963.22,9075526384.84,138517636.08,0.4167740
5111568978.77,1265648351.75,8683888123.54,842743856.50,0.3341099
2339739048.69,787921833.55,9130923396.03,811128345.02,0.5366563
2540797639.55,3530879424.11,9316079586.64,3767378127.54,0.8076771
1569483144.92,945448941.61,9163159090.20,1005528094.85,0.6085977
1903084157.69,362447293.02,9197161990.42,462377768.18,0.5915243
864823471.76,1710384301.54,9247093488.58,1891982606.89,0.8827551
1036747091.00,1290255499.24,9115064136.33,1292958187.22,0.7082791
4492177473.32,2616047766.71,9208427095.22,2718530816.36,0.6954427
3087801334.96,744448558.99,9249774031.05,894964591.87,0.6023205
735917420.37,118059054.74,9077608945.00,90993624.33,0.2969750
3865692949.70,2212750690.89,9678368030.16,2617076763.36,0.7866744
1766869566.61,2370542517.94,9169760190.42,2377638522.07,0.7433485
1689404023.85,2018448100.77,9177692319.20,2033129339.89,0.7203194
1360453305.85,2080789585.67,9153561707.04,2140218732.93,0.7831264
1119235371.82,834789224.72,9248668191.69,987038772.01,0.6965680
1428670264.96,1176814442.38,9170739817.37,1239718100.95,0.6616717
855750983.16,217826341.51,9109587404.05,225093010.00,0.4598319
1484652738.81,2412738360.67,9196545934.20,2533087332.39,0.8148130
1045646101.21,1475749685.87,9149950710.83,1531157195.89,0.7636574
1909993657.03,558554690.20,9209247629.79,627755814.67,0.5685834
1553488906.33,1066588008.83,9263428388.84,1225771405.37,0.7037305
1650754440.24,2758502145.41,9362674978.10,3088035957.18,0.8789821
1121116010.95,2766578405.73,9304365870.06,2998905933.11,0.9117620
2662226267.15,2271375916.64,9362458561.33,2567695762.48,0.7920877
1033388874.84,362827819.97,9226503769.42,508102328.53,0.7140475
1663702445.92,1573958110.09,9226001332.35,1738141279.39,0.7475750
1631224375.60,819324593.44,9212471237.13,924892386.02,0.6184217
403899347.95,132039607.11,9122637077.18,153781872.13,0.5755499
902040216.21,569915033.01,9146435750.63,618488788.59,0.6009047
2234949631.95,2402051834.90,9222263966.06,2500855948.89,0.7449923
673197864.17,291363316.57,9153822290.71,359344881.45,0.6268077
1931846563.03,2324749579.18,9152208335.56,2381502232.73,0.7383268
1469772843.65,651601444.11,9177451959.74,678349722.03,0.5530071
437880165.08,651532109.44,9088049926.72,640466361.39,0.7409233
509403722.12,177018516.49,9105836825.96,178357925.41,0.5011334
773840790.51,430590698.00,9167636012.49,502747975.44,0.6299935
570993275.68,335884278.99,9111461959.27,306964965.62,0.5139120
666094606.00,262619474.50,9146546449.62,292912486.79,0.5562302
1188156830.51,3708563441.38,9292140567.34,3595007734.38,0.8458076
458446384.30,676715501.04,9199498493.53,782291010.98,0.8658065
1230136440.80,1359178283.95,9240802738.18,1517126768.35,0.7703975
614566967.42,376808853.84,9136687047.46,411584093.19,0.6104699
1631396380.87,3137186895.20,9209984614.45,3289669733.38,0.8478068
1066765548.73,2722764852.21,9205157619.95,2821770945.06,0.8746192
1079943856.60,2015497532.62,9182101656.58,2126903624.28,0.8369968
1358004203.40,628532529.17,9277389794.84,817138490.83,0.6994624
2501594492.11,2429728614.37,9353370732.56,2708163074.48,0.7956564
698333569.76,536770050.48,9201594961.14,637397258.54,0.7102675
608723291.50,383052083.02,9168609995.91,455992960.64,0.6664739
486449921.27,448454575.25,9149850435.79,497125557.44,0.7183236
585797640.69,394511522.21,9151863279.58,427457290.73,0.6187651
415814175.49,521288688.62,9136973595.54,549905675.25,0.7586416
747232343.96,339084872.54,9201170303.12,441075301.56,0.6724917
1231667782.16,1559249930.31,9182158355.39,1663850235.63,0.7678634
512325822.88,315293074.28,9131452258.04,349744159.99,0.6260780
1935113699.27,2494141927.16,9256951065.91,2691714149.77,0.7950099
1004590555.67,975471263.07,9229934773.41,1115804642.69,0.7446698
709057666.03,212491266.03,9173906878.71,277407573.94,0.6140137
569075101.97,621999182.15,9151811095.08,690973275.57,0.7595871
724978114.71,372404377.17,9257372511.04,534138098.66,0.7600891
395497502.92,204889786.67,9151542861.61,268312232.90,0.7175151
600088853.63,446938606.32,9173560859.17,518244872.19,0.6877845
402782386.68,204838401.71,9142384558.04,249148836.25,0.6666528
277613873.02,349589332.38,9153460783.57,389942168.32,0.8119630
997147325.77,1184254919.34,9333849080.12,1455307372.73,0.8633034
763427590.11,1005042666.73,9252038149.40,1154188251.79,0.8268953
340751261.86,881451166.27,9153350014.98,949891142.76,0.9142675
230260420.85,159395528.77,9141310234.81,200800447.64,0.7638439
336179592.16,213244741.79,9174969307.01,294485323.76,0.7941207
320232043.67,215441182.17,9153672694.30,272726317.54,0.7426527
322946098.09,220404641.01,9146974374.87,273628309.26,0.7306600
715652645.16,422836253.42,9216447369.61,546573425.85,0.7065686
777307060.72,1635799023.43,9219219096.73,1791683841.37,0.8856946
167169246.76,146989167.50,9143152941.91,191595473.96,0.8675960
581334301.79,652634861.47,9251323934.10,815233484.35,0.8591852
721248131.84,508073938.24,9273745621.16,685382235.63,0.7753958
770535560.65,6788736928.37,9191970466.72,6886934332.64,0.9744830
291343534.67,238831268.21,9139005527.07,281783923.67,0.7458555
244148147.96,430112385.46,9168745408.13,504252434.02,0.9292174
273165433.64,322800811.95,9147877311.90,369965052.01,0.8191308
307165956.28,167702765.17,9189966680.27,259993787.01,0.8643967
792073570.33,2074999984.18,9334230060.94,2324389746.56,0.9443322
420502612.92,461238256.96,9146119638.62,511577675.79,0.7649152
440384069.88,789421010.53,9172430853.09,880531275.66,0.8769722
317097823.54,253267324.53,9164581451.49,323598025.08,0.7938741
793932130.05,2284284412.56,9446051474.34,2551180259.70,0.9814358
1830482872.59,4110727814.02,9573325074.12,4664999117.17,0.9495656
5636993736.42,1257471586.22,9771081882.89,1905107140.42,0.8117404
2614089609.59,645555037.92,9122277151.98,677791331.11,0.5211712
2302313350.17,3433363681.99,9757222611.16,4203866173.72,0.9443733
3836172828.06,13216283996.73,9634066746.34,13742365545.56,0.9331294
8843515588.79,1852134692.49,10273589886.61,2825049808.36,0.8282442
3317383370.13,1781121957.24,9283162004.89,1779499226.64,0.6293166
2342480119.49,2217112902.09,9164948848.44,2283028855.52,0.7211259
1379337925.55,2567827411.68,9132105129.39,2493926556.67,0.7743298
6745622670.52,3211913936.08,9168143549.09,3235303379.24,0.6604266
2953990631.44,5939289120.20,9295467451.14,6108506278.53,0.8478535
3115253109.57,797801378.87,9186758438.27,894917803.76,0.5670230
2903848716.18,1435802960.54,9242988107.43,1605705708.67,0.6838543
2166278417.29,941949007.40,9212455589.45,953988371.75,0.5499250
2460430736.39,1523096524.63,9212369579.81,1652260675.47,0.6913216
1348350366.99,724870959.56,9161645195.22,758686910.37,0.5679036
2094157689.18,1999404292.77,9416487900.22,2339712007.50,0.8223412
1472549180.61,250610091.06,9211626488.50,359010984.09,0.6349914
1377089696.20,973279982.04,9163244002.99,1029195759.68,0.6230179
1118686824.84,577235114.58,9178666297.47,677069806.26,0.6308413
5635982241.88,1722371853.19,9520723491.31,2033481030.11,0.6713656
818566329.92,150335278.90,9123949330.30,162831205.35,0.4250975
1784363558.35,1183022995.16,9231748410.23,1319491445.24,0.6901941
2662721434.85,1304972652.03,9323592362.00,1417391175.35,0.6491854
5526436154.20,1404780251.61,9365250350.15,1684669309.88,0.6508116
1509302189.14,919338610.89,9320900514.41,1044545962.23,0.6580452
